rule,arg1,arg2,arg3,expected
money,0.000000,,,0.000000
money,1.005000,,,1.000000
money,2.344000,,,2.340000
money,2.345000,,,2.350000
money,1234.564900,,,1234.560000
money,99.999000,,,100.000000
money,0.004000,,,0.000000
usage_gb_rounded,0,,,0.000000
overage_gb,0,0,,0.000000
rate_overage,0,0,,0.000000
overage_gb,0,500,,0.000000
rate_overage,0,500,,0.000000
overage_gb,0,2500,,0.000000
rate_overage,0,2500,,0.000000
overage_gb,0,5000,,0.000000
rate_overage,0,5000,,0.000000
usage_gb_rounded,1,,,1.000000
overage_gb,1,0,,1.000000
rate_overage,1,0,,10.000000
overage_gb,1,500,,0.000000
rate_overage,1,500,,0.000000
overage_gb,1,2500,,0.000000
rate_overage,1,2500,,0.000000
overage_gb,1,5000,,0.000000
rate_overage,1,5000,,0.000000
usage_gb_rounded,1023,,,1.000000
overage_gb,1023,0,,1.000000
rate_overage,1023,0,,10.000000
overage_gb,1023,500,,0.000000
rate_overage,1023,500,,0.000000
overage_gb,1023,2500,,0.000000
rate_overage,1023,2500,,0.000000
overage_gb,1023,5000,,0.000000
rate_overage,1023,5000,,0.000000
usage_gb_rounded,1024,,,1.000000
overage_gb,1024,0,,1.000000
rate_overage,1024,0,,10.000000
overage_gb,1024,500,,0.000000
rate_overage,1024,500,,0.000000
overage_gb,1024,2500,,0.000000
rate_overage,1024,2500,,0.000000
overage_gb,1024,5000,,0.000000
rate_overage,1024,5000,,0.000000
usage_gb_rounded,1025,,,2.000000
overage_gb,1025,0,,2.000000
rate_overage,1025,0,,20.000000
overage_gb,1025,500,,0.000000
rate_overage,1025,500,,0.000000
overage_gb,1025,2500,,0.000000
rate_overage,1025,2500,,0.000000
overage_gb,1025,5000,,0.000000
rate_overage,1025,5000,,0.000000
usage_gb_rounded,5813259,,,5678.000000
overage_gb,5813259,0,,5678.000000
rate_overage,5813259,0,,56780.000000
overage_gb,5813259,500,,5178.000000
rate_overage,5813259,500,,51780.000000
