# conformance vectors, expectations captured from the legacy meridian register
name|period|province|usage_mb|included_gb|plan_fee|previous_plan_fee|plan_change_day|line_count|promo_amount|promo_issued_on|suspension_start_day|suspension_end_day|prior_balance|prior_due_date|loyalty_pct|overage_gb|plan_charge|line_discount|overage_charges|suspension_credit|promo_credit|late_fee|subtotal|loyalty_discount|federal_tax|provincial_tax|total
plain-full-month|2026-07|AB|512000|500|640.0|0.0|0|1|0.0||0|0|0.0||0.0|0|640.00|0.00|0.00|0.00|0.00|0.00|640.00|0.00|32.00|0.00|672.00
partial-gb-rounds-up|2026-07|AB|512001|500|640.0|0.0|0|1|0.0||0|0|0.0||0.0|1|640.00|0.00|10.00|0.00|0.00|0.00|650.00|0.00|32.50|0.00|682.50
overage-exact-boundary|2026-07|AB|614400|500|640.0|0.0|0|1|0.0||0|0|0.0||0.0|100|640.00|0.00|1000.00|0.00|0.00|0.00|1640.00|0.00|82.00|0.00|1722.00
overage-one-mb-over|2026-07|AB|614401|500|640.0|0.0|0|1|0.0||0|0|0.0||0.0|101|640.00|0.00|1010.00|0.00|0.00|0.00|1650.00|0.00|82.50|0.00|1732.50
no-overage-under-plan|2026-07|AB|10240|500|640.0|0.0|0|1|0.0||0|0|0.0||0.0|0|640.00|0.00|0.00|0.00|0.00|0.00|640.00|0.00|32.00|0.00|672.00
proration-mid-cycle|2026-07|AB|512000|500|300.0|600.0|16|1|0.0||0|0|0.0||0.0|0|450.00|0.00|0.00|0.00|0.00|0.00|450.00|0.00|22.50|0.00|472.50
proration-31-day-month|2026-07|AB|512000|500|310.0|620.0|31|1|0.0||0|0|0.0||0.0|0|620.00|0.00|0.00|0.00|0.00|0.00|620.00|0.00|31.00|0.00|651.00
proration-february|2026-02|AB|512000|500|280.0|560.0|15|1|0.0||0|0|0.0||0.0|0|410.66|0.00|0.00|0.00|0.00|0.00|410.66|0.00|20.53|0.00|431.19
lines-two-no-discount|2026-07|AB|512000|500|1000.0|0.0|0|2|0.0||0|0|0.0||0.0|0|1000.00|0.00|0.00|0.00|0.00|0.00|1000.00|0.00|50.00|0.00|1050.00
lines-three-five-pct|2026-07|AB|512000|500|1000.0|0.0|0|3|0.0||0|0|0.0||0.0|0|1000.00|50.00|0.00|0.00|0.00|0.00|950.00|0.00|47.50|0.00|997.50
lines-twelve-ten-pct|2026-07|AB|512000|500|1000.0|0.0|0|12|0.0||0|0|0.0||0.0|0|1000.00|100.00|0.00|0.00|0.00|0.00|900.00|0.00|45.00|0.00|945.00
promo-issued-in-cycle|2026-07|AB|512000|500|640.0|0.0|0|1|120.0|2026-07-04|0|0|0.0||0.0|0|640.00|0.00|0.00|0.00|120.00|0.00|520.00|0.00|26.00|0.00|546.00
promo-issued-last-cycle|2026-07|AB|512000|500|640.0|0.0|0|1|120.0|2026-06-24|0|0|0.0||0.0|0|640.00|0.00|0.00|0.00|0.00|0.00|640.00|0.00|32.00|0.00|672.00
promo-two-cycles-back|2026-07|AB|512000|500|640.0|0.0|0|1|120.0|2026-05-20|0|0|0.0||0.0|0|640.00|0.00|0.00|0.00|0.00|0.00|640.00|0.00|32.00|0.00|672.00
suspension-five-days|2026-07|AB|512000|500|620.0|0.0|0|1|0.0||10|14|0.0||0.0|0|620.00|0.00|0.00|0.00|0.00|0.00|620.00|0.00|31.00|0.00|651.00
suspension-none|2026-07|AB|512000|500|620.0|0.0|0|1|0.0||0|0|0.0||0.0|0|620.00|0.00|0.00|0.00|0.00|0.00|620.00|0.00|31.00|0.00|651.00
latefee-inside-grace|2026-07|AB|512000|500|640.0|0.0|0|1|0.0||0|0|500.0|2026-06-30|0.0|0|640.00|0.00|0.00|0.00|0.00|0.00|640.00|0.00|32.00|0.00|672.00
latefee-past-grace|2026-07|AB|512000|500|640.0|0.0|0|1|0.0||0|0|500.0|2026-06-01|0.0|0|640.00|0.00|0.00|0.00|0.00|7.50|647.50|0.00|32.38|0.00|679.88
latefee-no-balance|2026-07|AB|512000|500|640.0|0.0|0|1|0.0||0|0|0.0|2026-01-01|0.0|0|640.00|0.00|0.00|0.00|0.00|0.00|640.00|0.00|32.00|0.00|672.00
tax-bc-with-loyalty|2026-07|BC|512000|500|640.0|0.0|0|1|0.0||0|0|0.0||10.0|0|640.00|0.00|0.00|0.00|0.00|0.00|640.00|64.00|32.00|40.32|648.32
