ACCT_ID,BILLING_REF,CUST_NM,TAX_ID,SVC_ADDR,PROVINCE,PLAN_CD,PLAN_FEE,INCLUDED_GB,PREV_PLAN_FEE,PLAN_CHG_DAY,LINE_CNT,PROMO_AMT,PROMO_DT,SUSP_START,SUSP_END,PRIOR_BAL,PRIOR_DUE,LOYALTY_PCT
BEACON-004417,TN-0001,Beacon Manufacturing Corp,47-2214880,"2518 Columbia Ave, Kamloops, BC V2C 1L2",BC,ENT-5000,4200.0,5000,2400.0,4,14,350.0,2026-06-24,0,0,700.9,2026-06-30,4.0
MER-011000,TN-0002,Northgate Logistics LLC,26-8841902,"871 Jasper Ave, Edmonton, AB T5J 1W8",AB,ENT-2500,2400.0,2500,0.0,0,1,200.0,2026-06-24,0,0,0.0,,4.0
MER-011007,TN-0003,Cedar Point Health Systems,31-5528117,"931 Ouellette Ave, Windsor, ON N9A 1C4",ON,ENT-1000,1150.0,1000,0.0,0,2,0.0,,0,0,0.0,,3.0
MER-011014,TN-0004,Willow Grove Retail Group,45-9930221,"1762 Boulevard Talbot, Saguenay, QC G7H 4B3",QC,BIZ-500,640.0,500,380.0,9,11,0.0,,0,0,1895.1,2026-06-25,5.0
MER-011021,TN-0005,Stonebridge Financial,12-7741550,"1759 Burrard St, Vancouver, BC V6C 2G8",BC,BIZ-250,380.0,250,0.0,0,1,120.0,2026-07-12,0,0,0.0,,3.0
MER-011028,TN-0006,Kingsley Media Networks,77-1120983,"1904 Jasper Ave, Edmonton, AB T5J 1W8",AB,ENT-5000,4200.0,5000,0.0,0,14,350.0,2026-07-18,0,0,236.84,2026-06-19,4.0
MER-011035,TN-0007,Ashford Public Schools,04-6621174,"794 Bay St, Toronto, ON M5J 2T3",ON,ENT-2500,2400.0,2500,1150.0,21,4,0.0,,0,0,0.0,,0.0
MER-011042,TN-0008,Foxglove Biotech,83-4410927,"1659 Boulevard Talbot, Saguenay, QC G7H 4B3",QC,ENT-1000,1150.0,1000,0.0,0,11,0.0,,11,14,0.0,,8.0
MER-011049,TN-0009,Fraser Food Distribution Inc.,56-2097781,"4348 Burrard St, Vancouver, BC V6C 2G8",BC,BIZ-500,640.0,500,0.0,0,11,200.0,2026-07-06,0,0,2508.65,2026-06-25,0.0
MER-011056,TN-0010,Wapiti Health Network Ltd.,55-9332320,"1228 Jasper Ave, Edmonton, AB T5J 1W8",AB,BIZ-250,380.0,250,4200.0,4,6,75.0,2026-06-29,0,0,0.0,,3.0
MER-011063,TN-0011,Okanagan Media Networks Inc.,48-8429637,"1722 King St W, Kitchener, ON N2G 1B3",ON,ENT-5000,4200.0,5000,0.0,0,14,0.0,,0,0,1636.44,2026-06-30,5.0
