CIRCUIT_ID,CIRCUIT_NM,A_ASSET_ID,Z_ASSET_ID,CAP_MBPS,ALLOC_MBPS,ROLE_CD,STATUS_CD
CKT-NE04-000118,Downtown Fiber Ring,104432,101187,1000,600,1,1
CKT-SE-02-001001,Granite Span,100378,100247,100,60,1,1
CKT-SE-02-001002,Fairview Ring,100158,100206,100,20,1,1
CKT-MW-07-001003,Summit Ring,100152,100067,1000,670,1,1
CKT-SW-01-001004,Summit Ring,100276,100075,500,360,1,1
CKT-NE-04-001005,Kingsley Span,100153,100325,1000,260,1,1
CKT-SW-01-001006,Ridge Ring,100334,100338,500,130,3,1
CKT-MW-07-001007,Summit Span,100224,100383,100,40,1,1
CKT-NE-04-001008,Riverbend Ring,100315,100152,1000,650,2,1
CKT-NE-04-001009,Riverbend Span,100329,100120,500,290,1,1
CKT-NE-04-001010,Ashford Link,100180,100200,100,30,1,1
CKT-SW-01-001011,Fairview Span,100091,100299,500,160,1,1
CKT-MW-07-001012,Ashford Link,100156,100178,100,50,2,1
CKT-SE-02-001013,Stonebridge Backhaul,100177,100357,10000,6270,1,1
CKT-NW-03-001014,Riverbend Backhaul,100104,100169,10000,3180,1,1
CKT-NE-04-001015,Riverbend Span,100180,100114,500,160,3,1
CKT-SW-01-001016,Mill Creek Span,100221,100255,1000,670,1,1
CKT-SW-01-001017,Kingsley Ring,100373,100219,500,160,3,1
CKT-NW-03-001018,Crossing Backhaul,100315,100039,500,310,2,1
CKT-NW-03-001019,Cedar Backhaul,100400,100065,1000,700,3,1
CKT-SW-01-001020,Granite Backhaul,100179,100267,1000,650,2,3
CKT-MW-07-001021,Foxglove Ring,100256,100043,10000,3860,1,1
CKT-NW-03-001022,Kingsley Link,100328,100167,500,150,3,1
CKT-NW-03-001023,Fairview Link,100346,100124,500,250,1,1
CKT-SW-01-001024,Ashford Span,100305,100025,500,310,2,3
CKT-NW-03-001025,Ashford Span,100321,100189,10000,7210,1,1
CKT-SW-01-001026,Northgate Span,100280,100381,500,380,1,3
CKT-NW-03-001027,Dunmore Span,100279,100291,10000,6930,1,1
CKT-MW-07-001028,Kingsley Ring,100266,100075,1000,500,1,1
CKT-SW-01-001029,Kingsley Backhaul,100245,100079,1000,770,1,1
CKT-SE-02-001030,Beacon Link,100004,100219,1000,720,1,1
CKT-SW-01-001031,Beacon Link,100201,100062,100,20,3,1
CKT-NW-03-001032,Ashford Span,100399,100092,500,170,1,1
CKT-SE-02-001033,Willow Link,100369,100132,10000,5260,1,1
CKT-NE-04-001034,Summit Span,100212,100364,1000,420,2,1
CKT-SE-02-001035,Mill Creek Link,100380,100240,500,180,1,1
CKT-MW-07-001036,Beacon Link,100008,100196,1000,630,1,1
CKT-SE-02-001037,Oakview Span,100042,100270,10000,5450,3,1
CKT-NE-04-001038,Granite Span,100240,100281,10000,5890,1,1
CKT-NE-04-001039,Riverbend Link,100354,100240,1000,670,1,1
CKT-NW-03-001040,Whitfield Span,100390,100046,500,170,1,1
CKT-MW-07-001041,Kingsley Link,100150,100271,10000,3470,1,1
