ASSET_ID,SITE_NM,SITE_CD,REGION_CD,LAT,LON,STATUS_CD,TOWER_REG,TOTAL_CAP_MBPS,ALLOC_CAP_MBPS
100001,Riverbend Macro Site 18,MSITE-100001,NE-04,43.101101,-71.373185,1,TWR-NE-0001,10000,4300
100002,Lakeshore Tower 13,MSITE-100002,SE-02,32.585457,-83.513806,1,TWR-SE-0002,2000,1350
100003,Riverbend Rooftop 37,MSITE-100003,MW-07,41.462335,-87.517493,1,TWR-MW-0003,4000,2650
100004,Foxglove Node 28,MSITE-100004,SW-01,33.694633,-110.923289,1,TWR-SW-0004,10000,2500
100005,Dunmore Node 11,MSITE-100005,NW-03,47.39257,-122.737153,2,TWR-NW-0005,2000,600
100006,Ridge Macro Site 17,MSITE-100006,NE-04,41.633523,-71.939982,1,TWR-NE-0006,1000,700
100007,Foxglove Hub 5,MSITE-100007,SE-02,33.785581,-85.392058,3,TWR-SE-0007,4000,1200
100008,Mill Creek Tower 11,MSITE-100008,MW-07,41.357125,-86.464568,1,TWR-MW-0008,10000,7100
100009,Riverbend Macro Site 31,MSITE-100009,SW-01,34.004568,-112.108284,1,TWR-SW-0009,4000,2100
100010,Crossing Macro Site 23,MSITE-100010,NW-03,48.615167,-121.407834,1,TWR-NW-0010,2000,1400
100011,Foxglove Hub 6,MSITE-100011,NE-04,42.821051,-71.741781,1,TWR-NE-0011,2000,1250
100012,Northgate Macro Site 33,MSITE-100012,SE-02,34.518611,-83.763261,1,TWR-SE-0012,1000,650
100013,Riverbend Rooftop 27,MSITE-100013,MW-07,40.734287,-86.910614,1,TWR-MW-0013,4000,3100
100014,Oakview Rooftop 37,MSITE-100014,SW-01,34.075969,-113.189767,1,TWR-SW-0014,500,350
100015,Harbor Hub 20,MSITE-100015,NW-03,48.038163,-123.133305,1,TWR-NW-0015,4000,2000
100016,Cedar Micro-Site 15,MSITE-100016,NE-04,42.532037,-70.287835,1,TWR-NE-0016,500,200
100017,Northgate Small Cell 40,MSITE-100017,SE-02,33.135779,-84.947731,1,TWR-SE-0017,10000,3550
100018,Ridge Node 3,MSITE-100018,MW-07,42.919203,-87.079189,1,TWR-MW-0018,10000,4600
100019,Riverbend Micro-Site 38,MSITE-100019,SW-01,32.667139,-112.704489,1,TWR-SW-0019,500,150
100020,Mill Creek Tower 8,MSITE-100020,NW-03,47.132814,-122.194819,1,TWR-NW-0020,4000,2700
100021,Dunmore Macro Site 7,MSITE-100021,NE-04,42.452999,-71.432967,3,TWR-NE-0021,2000,1300
100022,Stonebridge Small Cell 22,MSITE-100022,SE-02,32.805325,-83.959317,1,TWR-SE-0022,10000,4750
100023,Riverbend Tower 23,MSITE-100023,MW-07,42.751725,-86.866847,1,TWR-MW-0023,4000,1050
