ACCT_ID,PERIOD,USAGE_MB
BEACON-004417,2026-06,5813259
BEACON-004417,2026-07,7472103
MER-011000,2026-06,3146111
MER-011000,2026-07,4049593
MER-011007,2026-06,1024033
MER-011007,2026-07,1024485
MER-011014,2026-06,622038
MER-011014,2026-07,816852
MER-011021,2026-06,407140
MER-011021,2026-07,273807
MER-011028,2026-06,3655752
MER-011028,2026-07,4465608
MER-011035,2026-06,3678631
MER-011035,2026-07,4140306
MER-011042,2026-06,1225894
MER-011042,2026-07,1584690
MER-011049,2026-06,512683
MER-011049,2026-07,512050
MER-011056,2026-06,445992
MER-011056,2026-07,419445
MER-011063,2026-06,9402043
MER-011063,2026-07,7598936
MER-011070,2026-06,1440490
MER-011070,2026-07,1776655
MER-011077,2026-06,1464511
MER-011077,2026-07,1504662
MER-011084,2026-06,663424
MER-011084,2026-07,965460
MER-011091,2026-06,256463
MER-011091,2026-07,256246
MER-011098,2026-06,9395653
MER-011098,2026-07,7278044
MER-011105,2026-06,3574907
MER-011105,2026-07,2848542
MER-011112,2026-06,717765
MER-011112,2026-07,671654
MER-011119,2026-06,743630
MER-011119,2026-07,736216
MER-011126,2026-06,297766
MER-011126,2026-07,353454
MER-011133,2026-06,5120178
MER-011133,2026-07,5120386
MER-011140,2026-06,3531126
MER-011140,2026-07,2808893
MER-011147,2026-06,1379141
MER-011147,2026-07,1360388
MER-011154,2026-06,451414
MER-011154,2026-07,441632
MER-011161,2026-06,391376
MER-011161,2026-07,436114
MER-011168,2026-06,8426008
MER-011168,2026-07,6866870
MER-011175,2026-06,2560587
MER-011175,2026-07,2560233
MER-011182,2026-06,1665272
MER-011182,2026-07,1191055
MER-011189,2026-06,636493
MER-011189,2026-07,835873
MER-011196,2026-06,253546
MER-011196,2026-07,208972
MER-011203,2026-06,7411074
MER-011203,2026-07,5570981
MER-011210,2026-06,4178650
MER-011210,2026-07,3546898
MER-011217,2026-06,1024350
MER-011217,2026-07,1024223
MER-011224,2026-06,942079
MER-011224,2026-07,773545
MER-011231,2026-06,371555
MER-011231,2026-07,313072
MER-011238,2026-06,3167223
MER-011238,2026-07,4861658
MER-011245,2026-06,4169798
MER-011245,2026-07,3888736
MER-011252,2026-06,1442479
MER-011252,2026-07,1503642
MER-011259,2026-06,512605
MER-011259,2026-07,512432
MER-011266,2026-06,484641
MER-011266,2026-07,291460
MER-011273,2026-06,5432886
MER-011273,2026-07,9682838
MER-011280,2026-06,1873607
MER-011280,2026-07,2016394
MER-011287,2026-06,1866707
MER-011287,2026-07,1291996
MER-011294,2026-06,673778
MER-011294,2026-07,741575
MER-011301,2026-06,256590
MER-011301,2026-07,256018
MER-011308,2026-06,9539292
MER-011308,2026-07,6054221
MER-011315,2026-06,3253090
MER-011315,2026-07,3205653
MER-011322,2026-06,766783
MER-011322,2026-07,683619
MER-011329,2026-06,663013
MER-011329,2026-07,790427
MER-011336,2026-06,290352
MER-011336,2026-07,448926
MER-011343,2026-06,5120801
MER-011343,2026-07,5120180
MER-011350,2026-06,4662351
MER-011350,2026-07,2852237
MER-011357,2026-06,1650269
MER-011357,2026-07,1234122
MER-011364,2026-06,333993
MER-011364,2026-07,403069
MER-011371,2026-06,435973
MER-011371,2026-07,365307
MER-011378,2026-06,8471183
MER-011378,2026-07,8139313
MER-011385,2026-06,2560051
MER-011385,2026-07,2560100
MER-011392,2026-06,1785288
MER-011392,2026-07,1863766
MER-011399,2026-06,551186
MER-011399,2026-07,608150
MER-011406,2026-06,216540
MER-011406,2026-07,173937
MER-011413,2026-06,9435436
MER-011413,2026-07,8621170
MER-011420,2026-06,3104732
MER-011420,2026-07,2694354
MER-011427,2026-06,1024030
MER-011427,2026-07,1024619
MER-011434,2026-06,662982
MER-011434,2026-07,821996
MER-011441,2026-06,373906
MER-011441,2026-07,356662
MER-011448,2026-06,4673820
MER-011448,2026-07,3559071
MER-011455,2026-06,4204644
MER-011455,2026-07,3261100
MER-011462,2026-06,1223921
MER-011462,2026-07,1864645
MER-011469,2026-06,512538
MER-011469,2026-07,512488
MER-011476,2026-06,365564
MER-011476,2026-07,315952
MER-011483,2026-06,5784174
MER-011483,2026-07,8476207
MER-011490,2026-06,1570980
MER-011490,2026-07,2355342
MER-011497,2026-06,1304043
MER-011497,2026-07,1943704
MER-011504,2026-06,629387
MER-011504,2026-07,748872
MER-011511,2026-06,256300
MER-011511,2026-07,256754
MER-011518,2026-06,8530931
MER-011518,2026-07,9149025
MER-011525,2026-06,4600550
MER-011525,2026-07,3643451
MER-011532,2026-06,946961
MER-011532,2026-07,935755
MER-011539,2026-06,833506
MER-011539,2026-07,648722
MER-011546,2026-06,314722
MER-011546,2026-07,313279
MER-011553,2026-06,5120095
MER-011553,2026-07,5120194
MER-011560,2026-06,3429717
MER-011560,2026-07,3947998
MER-011567,2026-06,1352066
MER-011567,2026-07,1184071
MER-011574,2026-06,423029
MER-011574,2026-07,465993
MER-011581,2026-06,305814
MER-011581,2026-07,353549
MER-011588,2026-06,9254431
MER-011588,2026-07,6998089
MER-011595,2026-06,2560624
MER-011595,2026-07,2560476
MER-011602,2026-06,1833337
MER-011602,2026-07,1446058
MER-011609,2026-06,625270
MER-011609,2026-07,851924
MER-011616,2026-06,163172
MER-011616,2026-07,246399
MER-011623,2026-06,8717972
MER-011623,2026-07,7141608
MER-011630,2026-06,3169527
MER-011630,2026-07,3951367
MER-011637,2026-06,1024422
MER-011637,2026-07,1024509
MER-011644,2026-06,867529
MER-011644,2026-07,926755
MER-011651,2026-06,274396
MER-011651,2026-07,473841
MER-011658,2026-06,4794639
MER-011658,2026-07,3503343
MER-011665,2026-06,3374025
MER-011665,2026-07,3433101
MER-011672,2026-06,1670113
MER-011672,2026-07,1592348
MER-011679,2026-06,512757
MER-011679,2026-07,512470
MER-011686,2026-06,384466
MER-011686,2026-07,304945
MER-011693,2026-06,7202384
MER-011693,2026-07,5717445
MER-011700,2026-06,2454971
MER-011700,2026-07,2447497
MER-011707,2026-06,1697580
MER-011707,2026-07,1860321
MER-011714,2026-06,847754
MER-011714,2026-07,667194
MER-011721,2026-06,256761
MER-011721,2026-07,256622
MER-011728,2026-06,6269662
MER-011728,2026-07,8360396
MER-011735,2026-06,4400249
MER-011735,2026-07,4293472
MER-011742,2026-06,908183
MER-011742,2026-07,563837
