device_name,region,role,mgmt_ip,site_cd,external_bgp
Core-Router-NE04,NE-04,core-router,10.20.4.17,MSITE-104432,0
firewall-NE-04-01,NE-04,firewall,10.20.4.20,MSITE-100001,0
firewall-NE-04-02,NE-04,firewall,10.20.4.23,MSITE-100002,0
agg-switch-NE-04-03,NE-04,agg,10.20.4.26,MSITE-100003,0
olt-NE-04-04,NE-04,olt,10.20.4.29,MSITE-100004,0
cell-site-router-NE-04-05,NE-04,cell,10.20.4.32,MSITE-100005,0
agg-switch-NE-04-06,NE-04,agg,10.20.4.35,MSITE-100006,0
cell-site-router-NE-04-07,NE-04,cell,10.20.4.38,MSITE-100007,0
agg-switch-NE-04-08,NE-04,agg,10.20.4.41,MSITE-100008,0
firewall-NE-04-09,NE-04,firewall,10.20.4.44,MSITE-100009,0
olt-NE-04-10,NE-04,olt,10.20.4.47,MSITE-100010,0
core-router-NE-04-11,NE-04,core,10.20.4.50,MSITE-100011,0
olt-NE-04-12,NE-04,olt,10.20.4.53,MSITE-100012,0
agg-switch-NE-04-13,NE-04,agg,10.20.5.20,MSITE-100013,0
firewall-NE-04-14,NE-04,firewall,10.20.5.23,MSITE-100014,0
firewall-NE-04-15,NE-04,firewall,10.20.5.26,MSITE-100015,0
olt-NE-04-16,NE-04,olt,10.20.5.29,MSITE-100016,0
firewall-NE-04-17,NE-04,firewall,10.20.5.32,MSITE-100017,0
olt-NE-04-18,NE-04,olt,10.20.5.35,MSITE-100018,0
firewall-NE-04-19,NE-04,firewall,10.20.5.38,MSITE-100019,0
olt-NE-04-20,NE-04,olt,10.20.5.41,MSITE-100020,0
cell-site-router-NE-04-21,NE-04,cell,10.20.5.44,MSITE-100021,0
cell-site-router-NE-04-22,NE-04,cell,10.20.5.47,MSITE-100022,0
core-router-NE-04-23,NE-04,core,10.20.5.50,MSITE-100023,0
core-router-NE-04-24,NE-04,core,10.20.5.53,MSITE-100024,0
core-router-NE-04-25,NE-04,core,10.20.6.20,MSITE-100025,0
core-router-NE-04-26,NE-04,core,10.20.6.23,MSITE-100026,0
core-router-NE-04-27,NE-04,core,10.20.6.26,MSITE-100027,0
agg-switch-NE-04-28,NE-04,agg,10.20.6.29,MSITE-100028,0
olt-SE-02-01,SE-02,olt,10.20.12.20,MSITE-100029,0
cell-site-router-SE-02-02,SE-02,cell,10.20.12.23,MSITE-100030,0
agg-switch-SE-02-03,SE-02,agg,10.20.12.26,MSITE-100031,0
core-router-SE-02-04,SE-02,core,10.20.12.29,MSITE-100032,0
olt-SE-02-05,SE-02,olt,10.20.12.32,MSITE-100033,0
cell-site-router-SE-02-06,SE-02,cell,10.20.12.35,MSITE-100034,0
agg-switch-SE-02-07,SE-02,agg,10.20.12.38,MSITE-100035,0
agg-switch-SE-02-08,SE-02,agg,10.20.12.41,MSITE-100036,0
agg-switch-SE-02-09,SE-02,agg,10.20.12.44,MSITE-100037,0
firewall-SE-02-10,SE-02,firewall,10.20.12.47,MSITE-100038,0
core-router-SE-02-11,SE-02,core,10.20.12.50,MSITE-100039,0
core-router-SE-02-12,SE-02,core,10.20.12.53,MSITE-100040,0
cell-site-router-SE-02-13,SE-02,cell,10.20.13.20,MSITE-100041,0
agg-switch-SE-02-14,SE-02,agg,10.20.13.23,MSITE-100042,0
firewall-SE-02-15,SE-02,firewall,10.20.13.26,MSITE-100043,0
cell-site-router-SE-02-16,SE-02,cell,10.20.13.29,MSITE-100044,0
cell-site-router-SE-02-17,SE-02,cell,10.20.13.32,MSITE-100045,0
core-router-SE-02-18,SE-02,core,10.20.13.35,MSITE-100046,0
olt-SE-02-19,SE-02,olt,10.20.13.38,MSITE-100047,0
firewall-SE-02-20,SE-02,firewall,10.20.13.41,MSITE-100048,0
core-router-SE-02-21,SE-02,core,10.20.13.44,MSITE-100049,0
olt-SE-02-22,SE-02,olt,10.20.13.47,MSITE-100050,0
agg-switch-SE-02-23,SE-02,agg,10.20.13.50,MSITE-100051,0
core-router-SE-02-24,SE-02,core,10.20.13.53,MSITE-100052,0
olt-SE-02-25,SE-02,olt,10.20.14.20,MSITE-100053,0
agg-switch-SE-02-26,SE-02,agg,10.20.14.23,MSITE-100054,0
core-router-SE-02-27,SE-02,core,10.20.14.26,MSITE-100055,0
cell-site-router-SE-02-28,SE-02,cell,10.20.14.29,MSITE-100056,0
cell-site-router-MW-07-01,MW-07,cell,10.20.20.20,MSITE-100057,0
agg-switch-MW-07-02,MW-07,agg,10.20.20.23,MSITE-100058,0
agg-switch-MW-07-03,MW-07,agg,10.20.20.26,MSITE-100059,0
cell-site-router-MW-07-04,MW-07,cell,10.20.20.29,MSITE-100060,0
agg-switch-MW-07-05,MW-07,agg,10.20.20.32,MSITE-100061,0
firewall-MW-07-06,MW-07,firewall,10.20.20.35,MSITE-100062,0
core-router-MW-07-07,MW-07,core,10.20.20.38,MSITE-100063,0
cell-site-router-MW-07-08,MW-07,cell,10.20.20.41,MSITE-100064,0
olt-MW-07-09,MW-07,olt,10.20.20.44,MSITE-100065,0
olt-MW-07-10,MW-07,olt,10.20.20.47,MSITE-100066,0
cell-site-router-MW-07-11,MW-07,cell,10.20.20.50,MSITE-100067,0
cell-site-router-MW-07-12,MW-07,cell,10.20.20.53,MSITE-100068,0
cell-site-router-MW-07-13,MW-07,cell,10.20.21.20,MSITE-100069,0
core-router-MW-07-14,MW-07,core,10.20.21.23,MSITE-100070,0
cell-site-router-MW-07-15,MW-07,cell,10.20.21.26,MSITE-100071,0
cell-site-router-MW-07-16,MW-07,cell,10.20.21.29,MSITE-100072,0
firewall-MW-07-17,MW-07,firewall,10.20.21.32,MSITE-100073,0
olt-MW-07-18,MW-07,olt,10.20.21.35,MSITE-100074,0
agg-switch-MW-07-19,MW-07,agg,10.20.21.38,MSITE-100075,0
firewall-MW-07-20,MW-07,firewall,10.20.21.41,MSITE-100076,0
firewall-MW-07-21,MW-07,firewall,10.20.21.44,MSITE-100077,0
firewall-MW-07-22,MW-07,firewall,10.20.21.47,MSITE-100078,0
firewall-MW-07-23,MW-07,firewall,10.20.21.50,MSITE-100079,0
olt-MW-07-24,MW-07,olt,10.20.21.53,MSITE-100080,0
cell-site-router-MW-07-25,MW-07,cell,10.20.22.20,MSITE-100081,0
cell-site-router-MW-07-26,MW-07,cell,10.20.22.23,MSITE-100082,0
agg-switch-MW-07-27,MW-07,agg,10.20.22.26,MSITE-100083,0
agg-switch-MW-07-28,MW-07,agg,10.20.22.29,MSITE-100084,0
agg-switch-SW-01-01,SW-01,agg,10.20.28.20,MSITE-100085,0
agg-switch-SW-01-02,SW-01,agg,10.20.28.23,MSITE-100086,0
agg-switch-SW-01-03,SW-01,agg,10.20.28.26,MSITE-100087,0
olt-SW-01-04,SW-01,olt,10.20.28.29,MSITE-100088,0
firewall-SW-01-05,SW-01,firewall,10.20.28.32,MSITE-100089,0
cell-site-router-SW-01-06,SW-01,cell,10.20.28.35,MSITE-100090,0
agg-switch-SW-01-07,SW-01,agg,10.20.28.38,MSITE-100091,0
agg-switch-SW-01-08,SW-01,agg,10.20.28.41,MSITE-100092,0
olt-SW-01-09,SW-01,olt,10.20.28.44,MSITE-100093,0
firewall-SW-01-10,SW-01,firewall,10.20.28.47,MSITE-100094,0
firewall-SW-01-11,SW-01,firewall,10.20.28.50,MSITE-100095,0
firewall-SW-01-12,SW-01,firewall,10.20.28.53,MSITE-100096,0
agg-switch-SW-01-13,SW-01,agg,10.20.29.20,MSITE-100097,0
olt-SW-01-14,SW-01,olt,10.20.29.23,MSITE-100098,0
firewall-SW-01-15,SW-01,firewall,10.20.29.26,MSITE-100099,0
cell-site-router-SW-01-16,SW-01,cell,10.20.29.29,MSITE-100100,0
olt-SW-01-17,SW-01,olt,10.20.29.32,MSITE-100101,0
firewall-SW-01-18,SW-01,firewall,10.20.29.35,MSITE-100102,0
core-router-SW-01-19,SW-01,core,10.20.29.38,MSITE-100103,0
olt-SW-01-20,SW-01,olt,10.20.29.41,MSITE-100104,0
cell-site-router-SW-01-21,SW-01,cell,10.20.29.44,MSITE-100105,0
